numerosity,item_diameter,field_diameter
6,75,427
6,75,485
6,75,537
6,75,604
6,85,427
6,85,485
6,85,537
6,85,604
6,94,427
6,94,485
6,94,537
6,94,604
6,106,427
6,106,485
6,106,537
6,106,604
10,66,485
10,66,551
10,66,610
10,66,686
10,75,485
10,75,551
10,75,610
10,75,686
10,83,485
10,83,551
10,83,610
10,83,686
10,93,485
10,93,551
10,93,610
10,93,686
15,60,537
15,60,610
15,60,675
15,60,760
15,68,537
15,68,610
15,68,675
15,68,760
15,75,537
15,75,610
15,75,675
15,75,760
15,84,537
15,84,610
15,84,675
15,84,760
24,53,604
24,53,686
24,53,760
24,53,855
24,60,604
24,60,686
24,60,760
24,60,855
24,67,604
24,67,686
24,67,760
24,67,855
24,75,604
24,75,686
24,75,760
24,75,855
